,TIME,SMALLPARTICLES,LARGEPARTICLES,segment_idx,direction,LINE,ROUTE,START_STATION,END_STATION,length,GRADE,load
10312,2019-10-27 22:30:00,3816,128,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
10313,2019-10-27 22:31:00,3681,143,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
16,2019-11-24 22:31:00,188,24,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
17,2019-11-24 22:32:00,537,54,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
16,2019-11-24 22:31:00,188,24,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
17,2019-11-24 22:32:00,537,54,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
60,2019-11-24 23:19:00,2962,206,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
61,2019-11-24 23:20:00,2896,207,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
60,2019-11-24 23:19:00,2962,206,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
61,2019-11-24 23:20:00,2896,207,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
90,2019-11-24 23:49:00,232,18,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
91,2019-11-24 23:50:00,697,54,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
90,2019-11-24 23:49:00,232,18,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
91,2019-11-24 23:50:00,697,54,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
130,2019-11-25 07:33:00,6697,369,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,rush_hour
131,2019-11-25 07:34:00,6470,347,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,rush_hour
132,2019-11-25 07:35:00,5632,248,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,rush_hour
133,2019-11-25 07:36:00,5134,204,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,rush_hour
134,2019-11-25 07:37:00,4887,193,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,rush_hour
182,2019-11-25 08:25:00,1822,78,72,1,Green,E,Prudential,Copley,591.1551997911516,7,rush_hour
183,2019-11-25 08:26:00,3694,182,72,1,Green,E,Prudential,Copley,591.1551997911516,7,rush_hour
23,2019-11-26 22:16:00,647,19,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
60,2019-11-26 22:55:00,3247,90,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
61,2019-11-26 22:56:00,3507,81,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
95,2019-11-26 23:30:00,567,22,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
96,2019-11-26 23:31:00,824,27,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
23,2019-11-27 22:21:00,1109,49,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
24,2019-11-27 22:22:00,1763,72,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
23,2019-11-27 22:21:00,1109,49,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
24,2019-11-27 22:22:00,1763,72,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
62,2019-11-27 23:02:00,5345,243,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
62,2019-11-27 23:02:00,5345,243,72,-1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
100,2019-11-27 23:40:00,990,45,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
100,2019-11-27 23:40:00,990,45,72,1,Green,E,Prudential,Copley,591.1551997911516,7,baseline
10315,2019-10-27 22:33:00,3470,125,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
10316,2019-10-27 22:34:00,3327,115,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
19,2019-11-24 22:34:00,1934,136,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
20,2019-11-24 22:35:00,2928,261,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
19,2019-11-24 22:34:00,1934,136,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
20,2019-11-24 22:35:00,2928,261,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
57,2019-11-24 23:16:00,2531,162,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
58,2019-11-24 23:17:00,3052,216,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
57,2019-11-24 23:16:00,2531,162,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
58,2019-11-24 23:17:00,3052,216,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
92,2019-11-24 23:51:00,1160,84,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
93,2019-11-24 23:52:00,1575,109,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
92,2019-11-24 23:51:00,1160,84,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
93,2019-11-24 23:52:00,1575,109,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
128,2019-11-25 07:31:00,5698,286,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,rush_hour
184,2019-11-25 08:27:00,4452,228,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,rush_hour
185,2019-11-25 08:28:00,4426,203,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,rush_hour
25,2019-11-26 22:18:00,1502,45,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
58,2019-11-26 22:53:00,2539,52,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
59,2019-11-26 22:54:00,3246,85,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
97,2019-11-26 23:32:00,1114,33,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
98,2019-11-26 23:33:00,1613,36,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
25,2019-11-27 22:23:00,2439,105,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
26,2019-11-27 22:24:00,3312,172,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
25,2019-11-27 22:23:00,2439,105,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
26,2019-11-27 22:24:00,3312,172,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
60,2019-11-27 23:00:00,5276,278,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
60,2019-11-27 23:00:00,5276,278,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
102,2019-11-27 23:42:00,2215,93,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
102,2019-11-27 23:42:00,2215,93,33,1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,baseline
125,2019-12-02 07:44:00,1216,38,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,rush_hour
125,2019-12-02 07:44:00,1216,38,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,rush_hour
5,2019-12-09 07:07:00,5744,407,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,rush_hour
5,2019-12-09 07:07:00,5744,407,33,-1,Green,B/C/D/E,Copley,Arlington,611.5656622017842,7,rush_hour
0,2019-11-03 20:10:00,3009,84,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,
40,2019-11-03 20:52:00,5630,119,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,
45,2019-11-03 21:01:00,2322,75,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,
81,2019-11-03 21:44:00,5585,116,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,
68,2019-11-04 07:07:00,4931,453,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,rush_hour
69,2019-11-04 07:08:00,3329,117,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,rush_hour
113,2019-11-04 07:54:00,2586,53,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,rush_hour
155,2019-11-04 08:38:00,10043,345,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,rush_hour
5,2019-11-05 22:03:00,1404,31,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
40,2019-11-05 22:46:00,6608,176,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
44,2019-11-05 22:54:00,1076,24,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
71,2019-11-05 23:28:00,410,7,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
72,2019-11-05 23:29:00,447,17,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
73,2019-11-05 23:30:00,605,26,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
74,2019-11-05 23:31:00,392,9,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
75,2019-11-05 23:32:00,352,7,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
76,2019-11-05 23:33:00,485,27,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
77,2019-11-05 23:34:00,580,22,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
78,2019-11-05 23:35:00,712,10,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
79,2019-11-05 23:36:00,910,21,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
80,2019-11-05 23:37:00,3549,68,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
81,2019-11-05 23:38:00,4949,106,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
11,2019-11-06 22:06:00,2364,39,4,1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
49,2019-11-06 22:48:00,7936,225,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
89,2019-11-06 23:31:00,9466,331,4,-1,Blue,Blue,Government Center,State,147.5829939498532,7,baseline
1,2019-11-03 20:11:00,3898,186,8,1,Blue,Blue,State,Aquarium,494.84199864848136,7,
39,2019-11-03 20:51:00,6960,158,8,-1,Blue,Blue,State,Aquarium,494.84199864848136,7,
47,2019-11-03 21:03:00,1855,47,8,1,Blue,Blue,State,Aquarium,494.84199864848136,7,
80,2019-11-03 21:43:00,6924,160,8,-1,Blue,Blue,State,Aquarium,494.84199864848136,7,
70,2019-11-04 07:09:00,3866,128,8,1,Blue,Blue,State,Aquarium,494.84199864848136,7,rush_hour
104,2019-11-04 07:45:00,7154,149,8,-1,Blue,Blue,State,Aquarium,494.84199864848136,7,rush_hour
114,2019-11-04 07:55:00,3733,132,8,1,Blue,Blue,State,Aquarium,494.84199864848136,7,rush_hour
153,2019-11-04 08:36:00,12325,316,8,-1,Blue,Blue,State,Aquarium,494.84199864848136,7,rush_hour
39,2019-11-05 22:45:00,5224,136,8,-1,Blue,Blue,State,Aquarium,494.84199864848136,7,baseline
55,2019-11-06 22:57:00,2692,108,8,1,Blue,Blue,State,Aquarium,494.84199864848136,7,baseline
88,2019-11-06 23:30:00,6089,180,8,-1,Blue,Blue,State,Aquarium,494.84199864848136,7,baseline
2,2019-11-03 20:12:00,3706,131,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
3,2019-11-03 20:13:00,5277,252,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
4,2019-11-03 20:14:00,7246,255,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
36,2019-11-03 20:48:00,2834,66,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
37,2019-11-03 20:49:00,4847,132,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
48,2019-11-03 21:04:00,1959,72,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
49,2019-11-03 21:05:00,3403,85,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
77,2019-11-03 21:40:00,3762,99,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
78,2019-11-03 21:41:00,5828,148,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,
71,2019-11-04 07:10:00,5675,253,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
72,2019-11-04 07:11:00,8842,477,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
101,2019-11-04 07:42:00,1355,47,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
102,2019-11-04 07:43:00,2985,72,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
115,2019-11-04 07:56:00,4999,193,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
116,2019-11-04 07:57:00,5915,205,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
117,2019-11-04 07:58:00,8990,237,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
149,2019-11-04 08:32:00,2951,72,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
150,2019-11-04 08:33:00,3678,84,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
151,2019-11-04 08:34:00,6867,151,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,rush_hour
8,2019-11-05 22:06:00,3769,92,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
9,2019-11-05 22:07:00,5288,105,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
37,2019-11-05 22:43:00,1130,19,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
38,2019-11-05 22:44:00,1544,33,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
47,2019-11-05 22:57:00,3306,97,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
48,2019-11-05 22:58:00,6648,130,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
78,2019-11-05 23:35:00,712,10,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
79,2019-11-05 23:36:00,910,21,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
14,2019-11-06 22:09:00,4719,105,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
15,2019-11-06 22:10:00,6977,154,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
45,2019-11-06 22:44:00,1395,35,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
46,2019-11-06 22:45:00,2220,72,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
56,2019-11-06 22:58:00,2668,79,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
57,2019-11-06 22:59:00,4247,150,1,1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
86,2019-11-06 23:28:00,2081,67,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
87,2019-11-06 23:29:00,2976,120,1,-1,Blue,Blue,Aquarium,Maverick,1561.6461230076334,7,baseline
5,2019-11-03 20:15:00,7500,187,5,1,Blue,Blue,Maverick,Airport,1018.8674510628044,"1,6,7",
6,2019-11-03 20:16:00,7493,214,5,1,Blue,Blue,Maverick,Airport,1018.8674510628044,"1,6,7",
