START_STATION,END_STATION,ROUTE,DIRECTION,LINE,center,lower,upper,VECTOR_SUM.count,quantity
Airport,Wood Island,Blue,0.0,Blue,1451.2246469401416,746.6862595072931,1742.497956331379,4727.0,vibration
Airport,Wood Island,Blue,1.0,Blue,1826.519585794291,1096.871257518293,2142.367195253903,4292.0,vibration
Allston Street,Griggs Street,B,0.0,Green,670.9793663918513,287.46967148856635,758.8768825886673,3715.0,vibration
Allston Street,Griggs Street,B,1.0,Green,1052.1851243065166,301.64678244304656,1288.7601461798174,2510.0,vibration
Andrew,Broadway,Ashmont/Braintree,0.0,Red,1765.1117549812848,1036.008590339732,2040.8587537417652,7159.0,vibration
Andrew,Broadway,Ashmont/Braintree,1.0,Red,1519.0040039602125,950.8870028386003,1777.2766401834494,6113.0,vibration
Aquarium,Maverick,Blue,0.0,Blue,1753.0464030753515,996.5559205152432,2061.831970369456,7080.0,vibration
Aquarium,Maverick,Blue,1.0,Blue,1906.085946809664,1132.4264687487594,2234.582952564061,6465.0,vibration
Arlington,Boylston,B/C/D/E,0.0,Green,1409.4980369458062,776.9043718294031,1615.1120085780835,10050.0,vibration
Arlington,Boylston,B/C/D/E,1.0,Green,1736.7238748439484,1085.8715070460398,2024.505351258584,11900.0,vibration
Assembly,Wellington,Orange,0.0,Orange,1219.6113080262273,719.4916039576808,1382.9921801014807,16147.0,vibration
Assembly,Wellington,Orange,1.0,Orange,1130.8695828373727,622.5684565584697,1369.2423876850914,16282.0,vibration
Babcock Street,Pleasant Street,B,0.0,Green,958.5771176543308,287.24747824949833,1176.6226729469984,2464.0,vibration
Babcock Street,Pleasant Street,B,1.0,Green,1094.336778630239,642.3241220009553,1013.3678865943857,4694.0,vibration
Back Bay,Tufts Medical Center,Orange,0.0,Orange,1081.2596748982774,595.0046090120106,1306.0955033145856,12476.0,vibration
Back Bay,Tufts Medical Center,Orange,1.0,Orange,1056.730998290107,593.0934127959869,1265.8513558989869,18104.0,vibration
Back Of The Hill,Riverway,E,0.0,Green,1084.8283908968747,600.3600221090019,1271.9750068968738,3186.0,vibration
Back Of The Hill,Riverway,E,1.0,Green,1346.1683683081171,970.9695086864696,1496.8825230574848,5837.0,vibration
Beachmont,Revere Beach,Blue,0.0,Blue,1539.5576907218085,808.2236783214569,1809.5325908920486,5515.0,vibration
Beachmont,Revere Beach,Blue,1.0,Blue,1735.7666738088556,990.1398249010527,2062.43551691664,5094.0,vibration
Beaconsfield,Brookline Hills,D,0.0,Green,1375.280944413245,791.8461101688597,1556.7927992604637,6336.0,vibration
Beaconsfield,Brookline Hills,D,1.0,Green,853.1630198391632,357.4610436460495,1039.051928758211,7978.0,vibration
Blandford Street,Kenmore,B,1.0,Green,1161.748053133402,655.6590669722807,1336.062167576508,3440.0,vibration
Boston University Central,Boston University East,B,1.0,Green,1003.2070121385027,627.656048567903,967.0024629986833,6623.0,vibration
Boston University East,Blandford Street,B,1.0,Green,850.3377149355255,604.6903017834948,892.1567578649527,8335.0,vibration
Boston University West,Boston University Central,B,0.0,Green,841.6148393537836,384.2993474803122,946.6518139511506,2444.0,vibration
Boston University West,Boston University Central,B,1.0,Green,888.5935169706032,614.2914126364587,978.4618025087027,7507.0,vibration
Boylston,Park Street,B/C/D/E,0.0,Green,1292.901180835438,740.5115734395549,1543.9040233450828,9462.0,vibration
Boylston,Park Street,B/C/D/E,1.0,Green,1574.4557788910072,1101.0041468597651,1804.9568741655694,7169.0,vibration
Brandon Hall,Summit Ave/Winchester St,C,0.0,Green,1181.7584640473747,529.5452240231472,1134.1425462197165,8637.0,vibration
Brandon Hall,Summit Ave/Winchester St,C,1.0,Green,1244.8643907385656,562.9164107385213,1409.1314651871699,4284.0,vibration
Brigham Circle,Longwood Medical Area,E,0.0,Green,1396.3840251053118,700.5447034734392,1740.8487329296572,5271.0,vibration
Brigham Circle,Longwood Medical Area,E,1.0,Green,1442.1792194845777,908.7388381028882,1675.3512291185255,15262.0,vibration
Broadway,South Station,Ashmont/Braintree,0.0,Red,1919.894903127016,1091.9406032915776,2230.186720306771,7619.0,vibration
Broadway,South Station,Ashmont/Braintree,1.0,Red,1313.4321206911798,777.6092183701396,1543.997817630295,6930.0,vibration
Brookline Hills,Brookline Village,D,0.0,Green,1141.1037385960797,680.6057145429758,1304.1190073781374,5414.0,vibration
Brookline Hills,Brookline Village,D,1.0,Green,704.5752630156433,268.3422151177897,697.698407438623,5541.0,vibration
Brookline Village,Longwood,D,1.0,Green,922.3742853507887,505.06890788813575,1059.3022530246067,6798.0,vibration
Central,Harvard,Ashmont/Braintree,0.0,Red,1211.8722017173336,731.2103224149638,1341.928488238187,14386.0,vibration
Central,Harvard,Ashmont/Braintree,1.0,Red,1705.3113170303006,954.612822046259,1965.8512842387881,10697.0,vibration
Charles/MGH,Kendall/MIT,Ashmont/Braintree,1.0,Red,1850.0195072222969,999.173424817808,2134.473549840722,6570.0,vibration
Chestnut Hill,Reservoir,D,0.0,Green,1461.2600412518325,983.9056169387103,1613.7267958270395,9429.0,vibration
Chestnut Hill,Reservoir,D,1.0,Green,886.3129066514521,451.86832588594785,982.7170123382866,9263.0,vibration
Chinatown,Downtown Crossing,Orange,0.0,Orange,1008.0444054142528,553.2685112302553,1196.6339681484571,7895.0,vibration
Chinatown,Downtown Crossing,Orange,1.0,Orange,1070.030294246059,552.7193839554138,1322.272730621213,9337.0,vibration
Cleveland Circle,Englewood Avenue,C,0.0,Green,1302.6691172161184,427.49808285947074,1386.138374335525,3413.0,vibration
Community College,Sullivan Square,Orange,0.0,Orange,1047.5983781783027,584.721263556587,1243.8060097249413,20355.0,vibration
Community College,Sullivan Square,Orange,1.0,Orange,1152.862558268555,748.5152795531856,1383.5507748011369,21259.0,vibration
Coolidge Corner,Saint Paul Street C,C,0.0,Green,749.1955233602498,363.7007440235204,791.9642153860772,5231.0,vibration
Coolidge Corner,Saint Paul Street C,C,1.0,Green,1473.4832014878257,657.5428590971105,1600.4896419596378,10611.0,vibration
Copley,Arlington,B/C/D/E,0.0,Green,1314.0035744976785,773.7085705944094,1493.382088969935,9743.0,vibration
Copley,Arlington,B/C/D/E,1.0,Green,1512.1637611676088,1056.4408898614417,1660.693768037934,8988.0,vibration
Dean Road,Tappan Street,C,0.0,Green,1146.3528327996705,354.6653734526248,1326.7525986603005,2519.0,vibration
