STATION,ROUTE,LINE,center,upper,lower,DIRECTION,quantity
Airport,Blue,Blue,75.67142857142858,80.17354447609469,71.16931266676247,,noise_level
Allston Street,B,Green,71.94285714285716,80.61058601549294,63.275128270221366,,noise_level
Andrew,Ashmont/Braintree,Red,71.03999999999998,72.57231850475023,69.50768149524976,,noise_level
Aquarium,Blue,Blue,76.275,83.06548704333602,69.48451295666399,,noise_level
Arlington,B/C/D/E,Green,74.29411764705883,79.02281601291958,69.56541928119807,,noise_level
Assembly,Orange,Orange,71.89696969696972,78.86701654260159,64.92692285133785,,noise_level
Babcock Street,B,Green,72.24,80.82591870448351,63.65408129551647,,noise_level
Back Bay,Orange,Orange,73.61764705882355,80.3186950453438,66.91659907230328,,noise_level
Back Of The Hill,E,Green,79.25,80.73492424049175,77.76507575950825,,noise_level
Beachmont,Blue,Blue,75.44,83.47853220432684,67.40146779567314,,noise_level
Beaconsfield,D,Green,70.46666666666668,74.83778399140948,66.09554934192388,,noise_level
Blandford Street,B,Green,64.82,68.55858261912185,61.08141738087814,,noise_level
Boston University Central,B,Green,67.05737500000001,69.57070363734248,64.54404636265754,,noise_level
Boston University East,B,Green,70.65,71.85208152801714,69.44791847198287,,noise_level
Boston University West,B,Green,63.61666666666667,69.5027236377354,57.73060969559796,,noise_level
Boylston,B/C/D/E,Green,75.73333333333333,79.00747444208231,72.45919222458436,,noise_level
Brandon Hall,C,Green,71.58571428571429,75.49486106876408,67.6765675026645,,noise_level
Brigham Circle,E,Green,72.488,77.11151958288633,67.86448041711368,,noise_level
Broadway,Ashmont/Braintree,Red,73.7125,76.9557071868974,70.46929281310261,,noise_level
Brookline Hills,D,Green,70.32,75.41725416278216,65.22274583721783,,noise_level
Brookline Village,D,Green,70.64285714285714,75.14872633124432,66.13698795446994,,noise_level
Central,Ashmont/Braintree,Red,78.14999999999998,84.45211604674705,71.84788395325296,,noise_level
Charles/MGH,Ashmont/Braintree,Red,70.53333333333333,72.44731696266074,68.61934970400593,,noise_level
Chestnut Hill,D,Green,68.575,71.06681995069202,66.083180049308,,noise_level
Chinatown,Orange,Orange,74.64375,80.94263548342747,68.34486451657253,,noise_level
Chiswick Road,B,Green,61.7,65.23553390593274,58.16446609406728,,noise_level
Cleveland Circle,C,Green,70.2,74.15979797464466,66.24020202535534,,noise_level
Community College,Orange,Orange,74.82352941176471,82.3745665434908,67.27249228003865,,noise_level
Coolidge Corner,C,Green,71.10731707317076,75.02327099551856,67.19136315082295,,noise_level
Copley,B/C/D/E,Green,73.778125,78.41213214041522,69.14411785958477,,noise_level
Davis,Ashmont/Braintree,Red,72.525,82.99123823812276,62.05876176187725,,noise_level
Dean Road,C,Green,71.27857142857142,76.58650142802703,65.97064142911582,,noise_level
Downtown Crossing,Ashmont/Braintree,Red,74.83809523809525,80.91522253563281,68.76096794055769,,noise_level
Downtown Crossing,Orange,Orange,74.83809523809525,80.91522253563281,68.76096794055769,,noise_level
Eliot,D,Green,70.46666666666668,71.82436079029443,69.10897254303893,,noise_level
Englewood Avenue,C,Green,72.86000000000001,77.58736713192451,68.13263286807552,,noise_level
Fairbanks Street,C,Green,73.975,79.51417863947354,68.43582136052646,,noise_level
Fenway Park,D,Green,69.5230769230769,73.29824884988012,65.7479049962737,,noise_level
Fenwood Road,E,Green,73.53999999999998,78.9989783333921,68.08102166660788,,noise_level
Fields Corner,Ashmont,Red,72.03,77.11331693986428,66.94668306013573,,noise_level
Government Center,B/C/D/E,Green,77.17199999999998,81.05792760268807,73.28607239731188,,noise_level
Government Center,Blue,Blue,77.17199999999998,81.05792760268807,73.28607239731188,,noise_level
Green Street,Orange,Orange,73.17777777777776,79.09254273037263,67.2630128251829,,noise_level
Griggs Street,B,Green,66.75,72.35505724026675,61.14494275973325,,noise_level
