TIME,SMALLPARTICLES,LARGEPARTICLES,station_idx,STATION,LINE,ROUTE,TERMINUS,load
2019-10-27 22:32:00,3607,128,35,Copley,Green,B/C/D/E,N,baseline
2019-11-24 22:33:00,1566,124,35,Copley,Green,B/C/D/E,N,baseline
2019-11-24 22:33:00,1566,124,35,Copley,Green,B/C/D/E,N,baseline
2019-11-24 23:18:00,3164,215,35,Copley,Green,B/C/D/E,N,baseline
2019-11-24 23:18:00,3164,215,35,Copley,Green,B/C/D/E,N,baseline
2019-11-25 07:32:00,6448,331,35,Copley,Green,B/C/D/E,N,rush_hour
2019-11-26 22:17:00,927,33,35,Copley,Green,B/C/D/E,N,baseline
2019-11-27 23:01:00,6066,287,35,Copley,Green,B/C/D/E,N,baseline
2019-11-27 23:01:00,6066,287,35,Copley,Green,B/C/D/E,N,baseline
2019-11-27 23:41:00,1295,52,35,Copley,Green,B/C/D/E,N,baseline
2019-11-27 23:41:00,1295,52,35,Copley,Green,B/C/D/E,N,baseline
2019-12-02 07:45:00,1268,47,35,Copley,Green,B/C/D/E,N,rush_hour
2019-12-02 07:45:00,1268,47,35,Copley,Green,B/C/D/E,N,rush_hour
2019-12-02 08:48:00,1560,45,35,Copley,Green,B/C/D/E,N,rush_hour
2019-12-02 08:49:00,1470,32,35,Copley,Green,B/C/D/E,N,rush_hour
2019-12-02 08:48:00,1560,45,35,Copley,Green,B/C/D/E,N,rush_hour
2019-12-02 08:49:00,1470,32,35,Copley,Green,B/C/D/E,N,rush_hour
2019-12-09 07:08:00,6662,520,35,Copley,Green,B/C/D/E,N,rush_hour
2019-12-09 07:08:00,6662,520,35,Copley,Green,B/C/D/E,N,rush_hour
2019-11-03 20:21:00,1126,26,78,Orient Heights,Blue,Blue,N,
2019-11-03 21:12:00,1174,17,78,Orient Heights,Blue,Blue,N,
2019-11-04 08:05:00,1289,21,78,Orient Heights,Blue,Blue,N,rush_hour
